date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,indiesleaze_score,lipstickindex_score,maxiskirt_score,bigbag_score,highheelindex_score,peplums_score,blazers_score,mini_score
,100.2284,21.745,24.67,117.025,26.191,0.0,0.0,116.889,98.03,10.753,0.0,0.0,69.363,0.0,0.0,80.369,62.077,0.0,156.948,0.0,0.0,341.46,0.0,96.062,15.111,714.384,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,193.014,3.254,251.553,7.093,0.0,-1.3755982391631736,-0.24513194861024734,-0.9457430470771653,0.12781125182700762,-1.2556198708775215,-0.6034181220595345,-0.8755466396992885,-0.3532908594404531
,100.2087,27.182,24.67,156.034,36.012,0.0,0.0,112.859,114.368,16.13,5.584,0.0,59.454,0.0,0.0,93.764,57.643,0.0,156.948,0.0,0.0,371.152,2.884,82.963,21.587,755.918,0.0,0.0,0.0,0,0.0,701.772,0.0,0.0,0.0,0.0,229.778,2.651,220.539,0.0,11.416,-1.344007678252284,-0.26000709831126967,-0.9457378914476844,-0.020644298823827876,-0.982835445819737,-0.6034181220595345,-0.8755166111500335,-0.15231979993458053
,100.4345,43.491,16.447,247.054,39.286,0.0,0.0,88.675,147.045,10.753,0.0,0.0,59.454,0.0,0.0,93.764,54.687,0.0,156.948,0.0,0.0,326.614,3.296,65.497,8.634,606.395,0.0,0.0,0.0,0,0.0,747.048,0.0,0.0,0.0,0.0,165.44,3.856,248.107,0.0,8.255,-1.3339042208350473,-0.3493252455819229,-0.9457378914476844,-0.1196146659243851,-0.7603525225320074,-0.6034181220595345,-0.8754865819375307,-0.28991640374973904
,100.7531,43.491,24.67,416.091,39.286,0.0,0.0,80.613,163.383,16.13,0.0,0.0,61.931,0.0,0.0,93.764,67.989,0.0,204.032,0.0,0.0,341.46,3.708,65.497,10.793,581.475,0.0,0.0,0.0,0,0.0,792.324,0.0,0.0,0.0,0.0,183.823,0.0,254.999,8.645,11.943,-1.3043271901877003,-0.37909605181008504,-0.9457378914476844,0.3258153658641497,-0.6327696998118257,-0.6034181220595345,-0.8754565527250278,-0.5692781856681841
,100.9735,48.927,24.67,234.051,32.738,4.368,0.0,128.981,114.368,10.753,0.0,0.0,49.545,0.0,0.0,93.764,45.819,0.0,156.948,0.0,0.0,319.191,2.609,69.863,8.634,656.236,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,174.632,0.0,196.418,7.536,8.782,-1.307169963765605,-0.20044663835825632,-0.9457378914476844,-0.41652576722605616,-0.945447127953449,-0.6034181220595345,-0.8755766689117914,-0.7260381148755617
,101.0192,38.054,16.447,143.031,29.464,4.5,0.0,112.859,130.706,10.753,0.0,0.0,52.022,0.0,0.0,107.159,38.429,0.0,141.253,0.0,0.0,311.768,2.06,74.23,15.111,623.009,0.0,0.0,0.0,0,0.0,633.859,0.0,0.0,0.0,0.0,156.249,2.41,192.972,0.0,8.782,-1.3654968851929228,-0.25999398020366743,-0.9457327358182033,-0.6639728120381585,-0.8370100818560563,-0.6034181220595345,-0.8755616543055399,-0.5636891680244803
,100.9796,43.491,24.67,104.022,13.095,0.0,0.0,116.889,130.706,16.13,0.0,0.0,56.977,0.0,0.0,93.764,48.775,0.0,156.948,0.0,0.0,319.191,2.06,74.23,15.111,672.85,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,156.249,0.0,196.418,5.098,6.498,-1.3594185701907857,-0.24510571239504292,-0.9457378914476844,-0.3175554001254992,-0.9540740333598313,-0.6034181220595345,-0.8755916835180428,-0.9263036007089421
,100.8748,59.8,24.67,78.017,16.369,0.0,0.0,120.92,147.045,10.753,0.0,0.0,47.068,0.0,0.0,93.764,45.819,0.0,156.948,0.0,0.0,341.46,0.0,74.23,12.952,714.384,7.668,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,183.823,2.772,192.972,8.201,6.85,-1.319738082126202,-0.23020063131663848,-0.9457378914476844,-0.41652576722605616,-1.2838733050086628,-0.6034181220595345,-0.8756217120672978,-0.24534076103698094
,100.7045,54.364,16.447,65.014,19.643,0.0,0.0,100.767,114.368,10.753,0.0,0.0,56.977,0.0,0.0,93.764,47.297,0.0,156.948,0.0,0.0,326.614,2.197,69.863,12.952,755.918,0.0,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,156.249,2.41,182.634,11.305,5.796,-1.3533590246269034,-0.3046792904556585,-0.9457378914476844,-0.36704058367577774,-1.1638667499098936,-0.6034181220595345,-0.8756367266735491,-0.3724257766878458
,100.6121,54.364,24.67,52.011,22.917,0.0,0.0,100.767,98.03,16.13,0.0,0.0,39.636,0.0,0.0,66.974,41.385,5.889,156.948,0.0,0.0,326.614,1.922,61.13,10.793,805.758,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,174.632,3.133,199.864,0.0,7.903,-1.316895308548297,-0.30469240856326074,-0.9457482027066463,-0.5649813178768919,-1.3364138535032506,-0.6034181220595345,-0.8756517412798007,-0.39017508072036244
,100.5865,92.419,32.894,65.014,22.917,0.0,0.0,96.736,98.03,10.753,0.0,0.0,44.59,0.0,0.0,80.369,48.775,0.0,188.337,0.0,0.0,319.191,1.785,65.497,6.476,780.838,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,183.823,3.013,234.323,0.0,8.079,-1.2107944677040154,-0.3195843707311429,-0.9457430470771653,-0.3175131473501813,-1.3479433545402821,-0.6034181220595345,-0.8756517412798007,-0.3695033398891767
,100.6138,135.91,49.341,91.02,29.464,0.0,0.0,76.583,98.03,10.753,4.467,0.0,54.499,0.0,0.0,93.764,47.297,0.0,219.727,0.0,0.0,304.345,2.334,65.497,12.952,772.531,7.668,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,193.014,4.338,213.647,5.985,8.606,-1.0504147315122412,-0.39403679285203846,-0.9457378914476844,-0.3669560767790405,-1.1893199807410983,-0.6034181220595345,-0.8756217120672978,0.06181860963446106
,100.7571,141.347,65.788,104.022,26.191,0.0,0.0,104.797,98.03,10.753,0.0,0.0,54.499,0.0,0.0,107.159,50.253,5.889,172.643,0.0,0.0,341.46,3.021,69.863,10.793,706.077,7.668,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,174.632,3.013,199.864,0.0,6.85,-0.9872090472715352,-0.28980414075463623,-0.9457327358182033,-0.268049089514511,-0.9934590581149056,-0.6034181220595345,-0.8755916835180428,-0.4421038682381763
