cci,trend_score,indicator
99.63353,-0.0217279384033186,Lipstickindex
99.58079,-0.0515249816496052,Lipstickindex
99.50854,-0.0515118627390829,Lipstickindex
99.53588,0.052737601825179,Lipstickindex
99.62159,0.1421213412396836,Lipstickindex
99.67623,0.0527507199327812,Lipstickindex
99.72331,0.0676295639930612,Lipstickindex
99.81053,0.0080916466989147,Lipstickindex
99.91844,0.0229573718486724,Lipstickindex
99.9707,-0.0068134343794897,Lipstickindex
99.98325,-0.0217148202957164,Lipstickindex
99.96016,0.0676426821006635,Lipstickindex
99.94144,0.0080654096807902,Lipstickindex
99.95289,-0.0217279384033186,Lipstickindex
100.0072,0.008052291573188,Lipstickindex
100.1152,0.1867672963659479,Lipstickindex
100.3015,0.320810109817239,Lipstickindex
100.5061,0.1569870663894412,Lipstickindex
100.6415,0.156973948281839,Lipstickindex
100.7004,0.2016592585338301,Lipstickindex
100.6971,0.0825178318016857,Lipstickindex
100.6304,0.1271900239460746,Lipstickindex
100.5792,0.0229704899562746,Lipstickindex
100.4717,0.0974229120771701,Lipstickindex
100.3844,0.1421082231320813,Lipstickindex
100.3574,0.1271900239460746,Lipstickindex
100.4646,0.2314263704027345,Lipstickindex
100.6011,0.2463445695887412,Lipstickindex
100.6466,0.2761772727985768,Lipstickindex
100.578,0.4399646554599055,Lipstickindex
100.4687,0.2910298798407324,Lipstickindex
100.4043,0.3208363468353635,Lipstickindex
100.4072,0.2762297460319058,Lipstickindex
100.4591,0.3059611971343411,Lipstickindex
100.4482,0.2761903909061791,Lipstickindex
100.369,0.3060005522600678,Lipstickindex
100.353,0.2315050806541879,Lipstickindex
100.3886,0.2166168128455635,Lipstickindex
100.4265,0.3059743152419433,Lipstickindex
100.4984,0.3358070192546991,Lipstickindex
100.5551,0.4252169948844079,Lipstickindex
100.5492,0.2762035098167014,Lipstickindex
100.5726,0.3059743152419433,Lipstickindex
100.6716,0.2166299309531657,Lipstickindex
100.7779,0.2315444357799146,Lipstickindex
100.8479,0.2017379687852835,Lipstickindex
100.8715,0.1719577388087768,Lipstickindex
100.9022,0.261328360115679,Lipstickindex
100.9646,0.1421869333835347,Lipstickindex
101.0394,0.1570920136590191,Lipstickindex
101.1279,0.1421869333835347,Lipstickindex
101.1537,0.246501990091648,Lipstickindex
101.1465,0.2912397735769681,Lipstickindex
101.1462,0.1571182506771436,Lipstickindex
101.1635,0.0975409774543503,Lipstickindex
101.1716,0.1273343263413792,Lipstickindex
101.1573,0.0528687853099614,Lipstickindex
101.1505,0.0230754372258525,Lipstickindex
101.1641,0.0230623191182503,Lipstickindex
101.1837,0.0081965931655725,Lipstickindex
101.1361,-0.0216098730261385,Lipstickindex
101.0653,-0.0365018351940207,Lipstickindex
100.9734,-0.0216098730261385,Lipstickindex
100.8683,0.0678132215140926,Lipstickindex
100.7913,0.1274655098261615,Lipstickindex
100.7627,0.082701489322717,Lipstickindex
100.828,0.082701489322717,Lipstickindex
100.9065,0.0082621853094237,Lipstickindex
100.9201,-0.0215442816852073,Lipstickindex
100.8882,-0.0513413241285739,Lipstickindex
100.7932,-0.0513282060209717,Lipstickindex
100.665,-0.0066560138765829,Lipstickindex
100.5145,-0.0065773036251295,Lipstickindex
100.4945,-0.0215573997928096,Lipstickindex
100.5689,-0.0513413241285739,Lipstickindex
100.712,0.0529868506871415,Lipstickindex
100.8151,0.1573412625209815,Lipstickindex
100.7446,0.1423443538864416,Lipstickindex
100.2593,0.1125641239099348,Lipstickindex
99.21815,-0.0810953170869561,Lipstickindex
98.10604,0.0083277774532749,Lipstickindex
97.75997,0.0232328577287593,Lipstickindex
97.96384,-0.0810166068355027,Lipstickindex
98.23829,-0.0511839036256671,Lipstickindex
98.49018,-0.0512494957695183,Lipstickindex
98.70477,-0.0959741611472361,Lipstickindex
98.78632,-0.0662295919371984,Lipstickindex
98.79976,0.0231410293697037,Lipstickindex
98.91467,0.0083540136684793,Lipstickindex
99.05409,-0.0363312965835117,Lipstickindex
99.32957,-0.0214918076489584,Lipstickindex
99.73615,-0.0661771187038695,Lipstickindex
100.0586,-0.0810428438536272,Lipstickindex
100.3027,0.8631128593480777,Lipstickindex
100.4537,1.1910719727639143,Lipstickindex
100.3535,1.2453190606584983,Lipstickindex
100.1148,1.201706105599288,Lipstickindex
99.95164,1.2059639349317963,Lipstickindex
99.76938,1.17015202105712,Lipstickindex
99.54403,1.2743883675137802,Lipstickindex
99.30601,1.1432048827314534,Lipstickindex
98.97307,0.0087213287105419,Lipstickindex
98.51152,-0.0360558107034248,Lipstickindex
97.96985,-0.0658622776980558,Lipstickindex
97.5761,-0.0064198831222227,Lipstickindex
97.20341,-0.0063674090859737,Lipstickindex
96.8323,-0.0509084177455802,Lipstickindex
96.63258,-0.0062493437087936,Lipstickindex
96.6407,-0.0210457831583624,Lipstickindex
96.66358,-0.021190085553667,Lipstickindex
96.7627,0.083095040579984,Lipstickindex
96.9458,0.981526550492137,Lipstickindex
97.21941,1.2538175326909784,Lipstickindex
97.52456,0.1874232153956996,Lipstickindex
97.77238,0.0978820554782884,Lipstickindex
97.93935,0.1274130365928326,Lipstickindex
98.14481,0.0976196877058037,Lipstickindex
98.32935,0.082701489322717,Lipstickindex
98.50545,0.1273605625565837,Lipstickindex
98.58678,0.1869378357793769,Lipstickindex
98.48763,0.1273605625565837,Lipstickindex
98.32858,0.0975934514905992,Lipstickindex
98.22819,0.1720626860783547,Lipstickindex
98.33882,0.3211118327154504,Lipstickindex
98.66457,0.5147712737123415,Lipstickindex
99.00814,0.2912528924874904,Lipstickindex
99.19379,0.3359513208470837,Lipstickindex
99.2499,0.2763871665348126,Lipstickindex
99.17113,0.2763478114090859,Lipstickindex
99.02784,0.2911873003436392,Lipstickindex
98.94792,0.2614201884747347,Lipstickindex
98.92973,0.1869509538869792,Lipstickindex
98.96976,0.246672528702157,Lipstickindex
99.04605,0.1870165460308303,Lipstickindex
99.12044,0.3508170467997614,Lipstickindex
99.1316,0.5743485461322148,Lipstickindex
99.0723,0.8127851265430724,Lipstickindex
100.8491,-0.9457430470771652,Maxiskirt
100.8355,-0.9457482027066464,Maxiskirt
100.7913,-0.9457430470771652,Maxiskirt
100.7505,-0.9457430470771652,Maxiskirt
100.7282,-0.9457430470771652,Maxiskirt
100.7717,-0.9457482027066464,Maxiskirt
100.8285,-0.9457533583361272,Maxiskirt
100.8303,-0.9457482027066464,Maxiskirt
100.8061,-0.9457430470771652,Maxiskirt
100.81,-0.9457378914476844,Maxiskirt
100.8644,-0.9457430470771652,Maxiskirt
100.9582,-0.9457430470771652,Maxiskirt
101.0323,-0.9457378914476844,Maxiskirt
101.011,-0.9457378914476844,Maxiskirt
100.8773,-0.9457430470771652,Maxiskirt
100.7314,-0.9457378914476844,Maxiskirt
100.6746,-0.9457430470771652,Maxiskirt
100.7139,-0.9457533583361272,Maxiskirt
100.6771,-0.9457482027066464,Maxiskirt
100.4738,-0.9457430470771652,Maxiskirt
100.2284,-0.9457430470771652,Maxiskirt
100.2087,-0.9457378914476844,Maxiskirt
100.4345,-0.9457378914476844,Maxiskirt
100.7531,-0.9457378914476844,Maxiskirt
100.9735,-0.9457378914476844,Maxiskirt
101.0192,-0.9457327358182032,Maxiskirt
100.9796,-0.9457378914476844,Maxiskirt
100.8748,-0.9457378914476844,Maxiskirt
100.7045,-0.9457378914476844,Maxiskirt
100.6121,-0.9457482027066464,Maxiskirt
100.5865,-0.9457430470771652,Maxiskirt
100.6138,-0.9457378914476844,Maxiskirt
100.7571,-0.9457327358182032,Maxiskirt
100.9613,-0.9457327358182032,Maxiskirt
101.0749,-0.9457378914476844,Maxiskirt
101.1291,-0.9457378914476844,Maxiskirt
101.1371,-0.9457327358182032,Maxiskirt
101.0739,-0.9457327358182032,Maxiskirt
100.9943,-0.9457378914476844,Maxiskirt
100.9702,-0.9457275801887224,Maxiskirt
100.9881,-0.9457327358182032,Maxiskirt
100.9631,-0.9457327358182032,Maxiskirt
100.9196,-0.9457378914476844,Maxiskirt
100.7676,-0.9457327358182032,Maxiskirt
100.5712,-0.9383470828044036,Maxiskirt
100.3328,-0.9457275801887224,Maxiskirt
100.0589,-0.8762990415692495,Maxiskirt
99.8483,-0.9457275801887224,Maxiskirt
99.63045,-0.9457224245592414,Maxiskirt
99.32162,-0.9457224245592414,Maxiskirt
98.95058,-0.8531408211315353,Maxiskirt
98.49242,-0.8531356658869464,Maxiskirt
98.04234,-0.8531356658869464,Maxiskirt
97.69081,-0.8762835750656988,Maxiskirt
97.58231,-0.8226124145684641,Maxiskirt
97.66558,-0.8531408211315353,Maxiskirt
97.67867,-0.8457603237472165,Maxiskirt
97.41298,-0.9457069580556904,Maxiskirt
97.16837,-0.9457172689297604,Maxiskirt
97.03234,-0.8762887303102876,Maxiskirt
96.9688,-0.8299877567081941,Maxiskirt
96.97824,-0.8068295362704798,Maxiskirt
97.20629,-0.8457448572436657,Maxiskirt
97.66534,-0.7762959740779276,Maxiskirt
98.12306,-0.8152164506805946,Maxiskirt
98.46567,-0.8152319171841453,Maxiskirt
98.68877,-0.8457654793766975,Maxiskirt
98.89773,-0.8457603237472165,Maxiskirt
99.11938,-0.8068346918999607,Maxiskirt
99.21873,-0.8994108617265272,Maxiskirt
99.24712,-0.8920406756011702,Maxiskirt
99.30729,-0.8531253546279844,Maxiskirt
99.37518,-0.8457397016141847,Maxiskirt
99.39132,-0.8225866368059513,Maxiskirt
99.38895,-0.8225814811764703,Maxiskirt
99.36604,-0.799428416368237,Maxiskirt
99.31453,-0.7762908184484467,Maxiskirt
99.26768,-0.7920685415018421,Maxiskirt
99.21994,-0.7920788527608041,Maxiskirt
99.23846,-0.8152216063100756,Maxiskirt
99.2652,-0.8457397016141847,Maxiskirt
99.30903,-0.8688772995339751,Maxiskirt
99.38902,-0.8688824551634561,Maxiskirt
99.42262,-0.8614916465201753,Maxiskirt
99.38183,-0.8078153307783518,Maxiskirt
99.27272,-0.7625207738171621,Maxiskirt
99.04582,-0.7477546234190435,Maxiskirt
98.91441,-0.6866874990339393,Maxiskirt
98.90597,-0.6719368155242637,Maxiskirt
98.82299,-0.69510534722094,Maxiskirt
98.58913,-0.695100191591459,Maxiskirt
98.31213,-0.6488247177802192,Maxiskirt
98.20346,-0.7034716391131308,Maxiskirt
98.21943,-0.7108263587349368,Maxiskirt
98.35287,-0.7866493222591977,Maxiskirt
98.53907,-0.7561054488076836,Maxiskirt
98.7452,-0.671900726502789,Maxiskirt
98.89159,-0.658145053243043,Maxiskirt
98.95768,-0.5759531649897404,Maxiskirt
98.95599,-0.4474692405198506,Maxiskirt
98.92139,-0.4337352852949329,Maxiskirt
98.82849,-0.4042339178906895,Maxiskirt
98.77732,-0.420987402164654,Maxiskirt
98.77785,-0.4874067233789343,Maxiskirt
98.82154,-0.471623566724399,Maxiskirt
98.88181,-0.5843194568819311,Maxiskirt
98.89039,-0.660147576035673,Maxiskirt
98.8409,-0.6601424204061921,Maxiskirt
98.90736,-0.5306531744274107,Maxiskirt
99.02441,-0.4337043515180471,Maxiskirt
99.13401,-0.2629350878770525,Maxiskirt
99.24032,-0.1059307132378617,Maxiskirt
99.38569,0.0047572205259006,Maxiskirt
99.51501,0.0268780901609331,Maxiskirt
99.6199,-0.0321607332841362,Maxiskirt
