date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,cpi,cci_fred,consumer_sentiment,unemployment_rate,retail_sales_clothing,personal_saving_rate,retail_total_spending,retail_avg_transaction,retail_transaction_count,retail_unique_customers,census_sales_naics_446,census_sales_naics_44812,census_cci,cpi_index,inflation_rate_yoy,year,month,quarter,is_great_recession,is_covid_crisis,is_inflation_surge
2006-08-01,100.6138,135.91,49.341,91.02,29.464,0.0,0.0,76.583,98.03,10.753,4.467,0.0,54.499,0.0,0.0,93.764,47.297,0.0,219.727,0.0,0.0,304.345,2.334,65.497,12.952,772.531,7.668,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,193.014,4.338,213.647,5.985,8.606,206.8,88.22739,82.0,4.7,17432,2.5,,,,,18517.0,3088.0,88.22739,1.062692702980473,2.8344107409249197,2006,8,3,0,0,0
2006-09-01,100.7571,141.347,65.788,104.022,26.191,0.0,0.0,104.797,98.03,10.753,0.0,0.0,54.499,0.0,0.0,107.159,50.253,5.889,172.643,0.0,0.0,341.46,3.021,69.863,10.793,706.077,7.668,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,174.632,3.013,199.864,0.0,6.85,207.2,91.88559,85.4,4.5,16389,2.4,,,,,18683.0,3209.0,91.88559,1.064748201438849,2.930948832588176,2006,9,3,0,0,0
2006-10-01,100.9613,141.347,74.011,182.04,42.56,4.765,0.0,92.705,114.368,16.13,4.467,0.0,49.545,0.0,0.0,107.159,41.385,0.0,156.948,0.0,0.0,400.844,4.12,82.963,17.269,681.156,7.668,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,202.205,3.977,186.08,8.201,13.524,207.6,100.7083,93.6,4.4,16873,2.4,,,,,18834.0,3190.0,100.7083,1.066803699897225,2.7722772277227747,2006,10,4,0,0,0
2006-11-01,101.0749,130.474,74.011,208.045,29.464,0.0,0.0,96.736,98.03,5.376,0.0,0.0,49.545,0.0,0.0,93.764,45.819,0.0,172.643,0.0,0.0,475.075,2.06,78.596,8.634,639.623,7.668,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,174.632,3.736,210.202,5.985,8.957,207.8,99.09441,92.1,4.5,18949,2.7,,,,,19048.0,3167.0,99.09441,1.0678314491264131,2.6172839506172885,2006,11,4,0,0,0
2006-12-01,101.1291,119.601,57.564,260.057,22.917,0.0,0.0,108.828,147.045,16.13,0.0,0.0,49.545,0.0,0.0,93.764,67.989,7.197,219.727,0.0,0.0,519.613,1.51,56.764,8.634,564.861,3.834,0.0,0.0,0,0.0,724.41,0.0,0.0,0.0,0.0,183.823,4.338,241.215,6.206,7.201,208.1,98.66404,91.7,4.4,30652,2.6,,,,,19280.0,3372.0,98.66404,1.0693730729701953,2.6134122287968298,2006,12,4,0,0,0
2007-01-01,101.1371,97.855,57.564,156.034,22.917,0.0,0.0,84.644,114.368,10.753,0.0,0.0,37.159,0.0,0.0,107.159,41.385,4.253,172.643,0.0,0.0,564.151,1.51,61.13,12.952,656.236,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,137.867,3.615,206.756,4.876,0.0,208.6,104.2589,96.9,4.6,13581,2.4,,,,,19188.0,3334.0,104.2589,1.0719424460431655,2.657480314960625,2007,1,1,0,0,0
2007-02-01,101.0739,97.855,57.564,156.034,19.643,0.0,0.0,84.644,130.706,10.753,0.0,0.0,42.113,0.0,0.0,107.159,39.907,0.0,156.948,0.0,0.0,489.921,1.922,65.497,10.793,589.782,7.668,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,128.676,2.651,186.08,8.645,10.538,209.135,98.23366,91.3,4.5,14682,2.8,,,,,19135.0,3292.0,98.23366,1.0746916752312436,2.71856581532417,2007,2,1,0,0,0
2007-03-01,100.9943,97.855,41.117,78.017,13.095,0.0,0.0,92.705,163.383,10.753,3.35,0.0,37.159,0.0,0.0,93.764,42.863,4.253,172.643,0.0,0.0,437.959,1.922,65.497,8.634,722.69,7.668,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,128.676,5.061,189.526,0.0,9.484,209.418,95.11343,88.4,4.4,17623,3.0,,,,,19259.0,3325.0,95.11343,1.0761459403905447,2.5051395007342103,2007,3,1,0,0,0
2007-04-01,100.9702,86.982,49.341,52.011,16.369,0.0,0.0,88.675,604.518,16.13,3.35,0.0,42.113,0.0,12.676,120.554,42.863,4.58,172.643,0.0,0.0,415.69,1.236,65.497,12.952,739.304,0.0,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,156.249,4.338,192.972,4.211,9.66,209.747,93.7147,87.1,4.5,16692,3.0,,,,,19316.0,3310.0,93.7147,1.077836587872559,2.4155273437499902,2007,4,2,0,0,0
2007-05-01,100.9881,86.982,49.341,52.011,19.643,0.0,0.0,92.705,653.533,16.13,3.35,0.0,44.59,0.0,12.676,107.159,38.429,3.598,188.337,6.327,0.0,378.575,1.648,74.23,8.634,797.452,7.668,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,147.058,3.615,192.972,3.546,8.43,210.058,95.00583,88.3,4.4,18020,2.8,,,,,19350.0,3440.0,95.00583,1.0794347379239466,2.267770204479058,2007,5,2,0,0,0
2007-06-01,100.9631,92.419,57.564,52.011,16.369,0.0,0.0,84.644,686.21,10.753,4.467,0.0,44.59,0.0,12.676,107.159,35.472,4.58,188.337,8.436,6.096,341.46,2.884,74.23,12.952,780.838,3.834,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,174.632,4.82,217.093,6.428,10.889,210.392,91.778,85.3,4.6,16864,2.7,,,,,19579.0,3367.0,91.778,1.0811510791366907,2.181641573579407,2007,6,2,0,0,0
2007-07-01,100.9196,119.601,57.564,65.014,19.643,0.0,0.0,96.736,473.811,16.13,0.0,0.0,42.113,0.0,12.676,93.764,47.297,5.561,219.727,8.436,0.0,393.421,1.51,74.23,17.269,772.531,0.0,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,156.249,4.097,213.647,6.206,5.444,210.773,97.26531,90.4,4.7,16459,2.6,,,,,19549.0,3062.0,97.26531,1.083108941418294,2.1682016480853106,2007,7,3,0,0,0
2007-08-01,100.7676,163.092,65.788,78.017,26.191,0.0,337.13,88.675,294.09,16.13,4.467,0.0,42.113,0.0,12.676,107.159,51.731,6.543,219.727,16.872,7.701,363.729,2.334,74.23,12.952,730.997,7.668,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,165.44,3.374,192.972,5.32,8.079,211.119,89.7337,83.4,4.6,18405,2.2,,,,,19718.0,3304.0,89.7337,1.0848869475847893,2.0884912959380886,2007,8,3,0,0,0
2007-09-01,100.5712,152.219,74.011,91.02,26.191,2.779,337.13,100.767,245.075,10.753,3.35,6.737,44.59,0.0,12.676,120.554,45.819,6.87,204.032,16.872,0.0,363.729,1.785,74.23,12.952,664.543,11.502,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,220.587,3.736,189.526,7.093,0.0,211.554,89.7337,83.4,4.7,16346,2.3,,,,,19851.0,3260.0,89.7337,1.0871223021582734,2.101351351351366,2007,9,3,0,0,0
2007-10-01,100.3328,168.529,82.235,143.031,32.738,3.441,449.507,100.767,196.06,16.13,2.233,0.0,49.545,0.0,0.0,120.554,45.819,5.889,172.643,10.545,0.0,385.998,2.746,87.329,19.428,689.463,3.834,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,193.014,4.459,172.296,3.99,7.201,212.077,87.04385,80.9,4.7,17179,2.2,,,,,19726.0,3285.0,87.04385,1.0898098663926001,2.1565510597302495,2007,10,4,0,0,0
2007-11-01,100.0589,206.584,82.235,221.048,32.738,0.0,337.13,108.828,196.06,10.753,3.35,0.0,52.022,4.571,0.0,120.554,47.297,0.0,219.727,18.981,0.0,363.729,1.648,78.596,12.952,598.089,3.834,0.0,0.0,0,0.0,633.859,0.0,0.0,0.0,0.0,165.44,3.374,220.539,5.541,6.85,212.66,81.87932,76.1,4.7,20035,1.9,,,,,19705.0,3277.0,81.87932,1.0928057553956834,2.3387872954764077,2007,11,4,0,0,0
